Sale_YearMonth,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
201505,18808842.42,8340370.44,10946053.5,21492551.36,10546339.55,23980351.1,14622603.26,20228751.89,29140740.97,14321789.2,14021674.23,9879269.522,18656446.57,5218886.32,15215122.8,11824999.72,30135470.01,13919053.58,8267359.235,588391.18,7468835.01,24218686.75,21089756.58,9999999.788,16543985.79,33760501.45
201506,16864009.01,9671313.714,12196880.25,19447884.01,14095915.72,23399587.27,16855272.04,14983849.54,28541512.45,26180164.24,16498337.14,10964874.92,22581643.9,7866259.986,12964985.6,10885194.17,25181709.98,9080000,13187224.5,12619883.4,15000015.1,12138720.5,14334608.89,15707738.3,9692930.54,31691356.4
201507,14739416.11,9314132.454,15120129.5,20958791.31,12415398.43,38233850.8,13889388.97,12471449.09,28571683.5,9320614.079,13905486.55,11307982.3,21621177.79,10981671.05,19036878.75,12100623.39,26138238.16,6023235.593,13568612.15,10798390,14245936.29,15353712.5,17304706.09,9462551.75,11169802.6,36416193.9
201508,18809730.75,9876818.663,10093750.22,22399322.38,10923276.75,36308159.26,14240952.45,11099872.07,26098451.99,10954143.3,14327103.3,10630499.67,16410832.9,5554948.618,14196817.64,21796885.32,30565287.18,10763942.75,13949999.79,21336249.83,4696000,14398637.37,13636352.65,17000030,16315953.12,34666021.82
201509,17824819.89,10145492.6,12222073.99,20321865.26,15831413.73,36570351.72,12317695.07,11322947.87,31440857.74,12537361.33,14748720.05,12509402.5,15878000.5,6617457.465,11508801.53,9584575.6,29203953.74,15798833.02,7945000,9039472.555,6845437.429,5188863.286,18183931.48,16712992.59,13624179.3,34882102.42
201510,10857035.13,12056161.96,11459072.54,18710825.82,11752363.69,43701368.94,12078032.93,16329717.06,31562380.67,18999998.75,20168950,8728216.713,22661125.94,10148507.29,15479517.44,14675976.29,30661439.15,13405661.82,27874999.59,3918749.805,8994874.859,16594366.81,16175085.52,9505723.745,9365618.63,28203099.31
201511,12282516,11024703.16,15900245.65,16105390.56,13736223.28,42523448.16,17611640.87,12110891.62,30173813.91,14499999.55,12692483.19,4219802.88,17545586.09,6874837.923,15971880.79,11636083.46,31694592.02,11012490.63,12059999.25,7637920.591,11236500,18886536.48,16459449.17,12396663.2,13136398.27,36634816.14
201512,21179801.71,11294598.99,17996245.18,21282501.46,10879639.03,38178442.78,10516705.82,11704940.38,32493870.07,21724233.12,9970285.617,10420491.75,16358537.52,8517497.632,18350174.87,6995409.091,25994049.68,12625815.67,10229499.63,5849624.139,13903750,14619072.54,15784930.69,15699414.21,16389363.49,35669535.55
201601,8821787.5,9745773.783,21453401.13,19387211.67,14707708.33,41393659.73,17996392.13,17839712.27,32168790.06,21724233.12,14621249.9,6907083.171,21001417.48,11350000,19921595.36,12314750,32161219.71,19166799.86,8399000,9002993.277,13944665.99,14222002.26,17691752.8,8865813.393,19960081.63,34830138.92
201602,17100725.58,12214578.47,15395240.56,22750409.25,12725340.27,37219383.71,16261443.73,16013632.71,30283896.59,17071066.56,12041499.89,6346541.667,24001026.5,8168428.912,20456421.81,15078666.12,21743296.19,18583399.45,6611375,7721837.435,15340611.76,10748315.39,20433331.98,17384608.86,15101623.33,28611293.04
201603,5356195.962,14171870.2,13871979.18,23554402.3,18483951.7,42596988.21,15418772.66,14511558.71,32438865.49,12417900,12480666.95,11543166.67,18860531.05,8247475.23,19748354.01,11905594.7,30588559.29,17999999.05,4823750,12378310,9889255,15416459.03,21910716.62,12863333.33,17334164.04,43255558.34
201604,16995017.84,12390416.67,10138132.13,23175099.1,17926808.89,41567374.14,14419738.24,13222575.02,32030737.07,12380204.03,12022855.1,5942632.365,21910203.96,10297448.04,20552107.08,8602653.05,29024870.03,14755000,4823750,12407163.69,7519726.85,13928630.34,16842143.13,15426200.66,19485545.39,31348450.3
201605,21429757.94,10674958.75,11630120.27,19623020.99,16271100.57,39500298,16210944.04,13803896.91,31357675.69,19815482.63,16515436.76,4859329.667,20486667.15,7892250.875,26251683.05,11008700,26178182.76,17000015.62,17911874.25,13493901.5,6816580.663,15936757.23,18829174.81,14198613.54,11031494.47,29047371.68
