Sale_YearMonth,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
201305,103667.9,85657.89474,112936.7592,131510.832,78949.08438,234760.167,134131.1302,113921.9833,191399.3699,86629.09756,95971.2,62866.94793,119248.6003,55409.6087,111936.5294,95201.27889,155065.2922,57550,104500,70699.7619,97961.2069,106950.8095,99804.25455,99146.875,120389.3134,212546.1481
201306,112058.3846,68394.73684,104675.5263,141010.1729,96128.84615,259611.7935,136614.7244,122452.9016,181661.7648,91997.24,82635.2352,74151.06667,125657.5424,70213.40909,132604.2121,98101.38355,162573.875,92136.36364,105440.913,96657.29167,102695,84971.37255,93438.37037,83785.71429,96260.60565,180079.4643
201307,77840.91304,108602.9412,118103.8272,155420.858,90776.61404,255780.3638,147345.5975,107858.1935,191517.0103,126458.0488,86407.40741,75685.48903,129263.5057,74243.54,95430.98361,97589.58333,169597.4886,76984.85714,101236.4444,74738.91892,122948.0045,100071.8825,114763.4286,108155.4348,94790.682,199278.0909
201308,114916.6667,89365.92593,107183.2727,144320.9793,88189.25423,275101.0561,161801.3248,117394.7569,180547.901,129051.7241,109915.9677,71486.68421,134148.0759,72764.05833,135009.5849,104603.2787,161855.678,148733.8342,124138.8888,68056.97727,101445.6522,120619.5323,116339.7143,99186.54545,111665.2368,199252.9924
201309,102825.64,87826.58537,112312.069,148896.9394,95617.71063,273320.3597,146487.6218,124077.3898,176411.4937,116962.3158,85128,95566.16588,114110.3448,68380.95238,112882.5625,96119.02381,155229.7297,90532.75,101062.3478,84013.48439,103219.697,103493.3226,92069.05769,95703.13953,105734.2466,210972.9412
201310,108656.52,98669.23077,102647.8261,145997.8724,76838.21169,266753.3475,147818.7123,122750.2083,203231.1638,158424.8182,90424.53125,68711.53846,124715.6011,55078.41667,132751.4493,86611.725,185309.8588,107192.1429,94803.37037,68275.74419,104279.4118,104765.9194,121236.4098,101177.9808,121995.1199,208674.0588
201311,109102.8438,96994.08025,116575.3333,156440.6481,92368.55738,277645.3507,148022.2121,124048.875,191397.396,114191.1765,86072.69231,73421.73913,129014.0152,75664.69643,129631.5385,114720.0812,127639.9521,97495,95452.75,46500,110120.8621,109093.1373,111131,88650,104317.9682,184524.0541
201312,86351.6075,44239.58333,109550.7303,150265.039,86562.81298,261762.6189,154272.0817,120934.5684,197069.0488,118977.5088,70578.15553,69329.97143,128881.7117,68469.78788,115942.5625,104577.1013,169997.776,91423.702,105956.186,91174.18182,92867.47826,103975.4082,105172.619,106820.1563,115359.9836,251008.5225
201401,96928,35505.02575,118866.6667,147425.4689,88253.75,248517.9435,145786.3659,144600,163445.4545,115290.8462,100861.6667,71698.4375,110404.9917,42790.91667,108250.2041,96242.85714,162479.86,154000,116550,65320.90909,109765.3667,109765.7297,118839.963,73115.38462,115518.5378,227594.3676
201402,88482.14286,87854.16667,103864.6458,153699.5252,85095.57377,256604.9947,161999.91,101718.1111,175933.7059,120461.7647,84105,72839.85467,128357.4074,79361.11111,108961.9643,87624.09524,175693.4545,98660.08333,95261.90476,75000,106131.8676,106828.2075,111882.6686,93557.57857,109314.2914,226006.815
201403,117029.4118,45720.28205,111444.566,143881.2214,94069.86567,250702.1146,127306.5906,124002.7143,148425.29,107127.6053,80855.83333,69575,113321.5714,53188.22727,105094.8276,101731.8491,171571.4286,101388.8889,114804.878,70219.04255,122789.5385,109718.9439,118513.717,91597.93939,113542.6493,235384.7586
201404,109269.1944,82075.19512,116583.9167,140122.0727,87695.06842,272186.6784,144468.1653,115926.4706,202574.1072,122890.7222,98935.35714,71195.65217,93587.57143,80476.19048,115579.0323,88186.12676,163758.4286,76171.875,123660.7143,75455.55556,110164.4737,117328.5962,104791.129,92639.30952,108013.4096,214209.6263
201405,105733.3333,81307.63158,101605.4688,150314.8761,97729.95161,278460.9697,160502.5456,125852.7841,200420.0694,117284.6194,98416.66667,92047.61905,119582.0319,54728.6,124773.5849,103044.5775,175695.1149,49553.97059,100146.2963,72246.85714,101328.0238,105749.9383,105224.359,92305.63235,109993.8362,215241.8256
201406,88933.64286,78922.45283,97237.70492,155270.521,69107.54645,284549.4601,146067.8897,112076.6667,220148.3978,136287.1538,105567.3077,81506.06667,111870.1482,74379.78261,124863.8451,80532.77273,180093.3333,92659.09091,107058.8235,85450,114700.8222,109959.0667,103457,103235,108934.2637,211239.8265
201407,119633.3333,89069.64286,97965.29412,162968.1277,74679.9728,287705.4912,149139.087,119433.8504,197614.5479,143626.3818,95753.48837,78732.21739,116519.0551,67743.96552,117030.7485,90177.27832,178254.5824,101233.3333,110905.4054,74823.07692,109272.4765,105563.0137,118178.5644,82004.81558,110073.7712,240655.6757
201408,114717.3913,83901.92308,117881.9444,163885.7324,99287.28448,297238.7089,154412.0901,124650,219980.8311,132354.717,105364.8649,94050,111588.8296,60320.94286,140483.9726,100602.0526,189541.9492,100555.5556,130097.2222,93128.57143,107077.9264,102329.2385,107741.15,112870.0893,122819.1964,264231.5146
